2026-02-21 22:25:29 | src.control.vist_controller | INFO     | 初始化 IK 求解器...
2026-02-21 22:25:30 | src.control.vist_controller | INFO     | IK 求解器初始化完成
2026-02-21 22:25:30 | src.control.vist_controller | INFO     | 初始化 VIST 框架...
2026-02-21 22:25:30 | src.control.vist_controller | INFO     | 启用几何解析求解器...
2026-02-21 22:25:30 | src.control.vist_controller | INFO     | 几何求解器初始化完成 (trust_weight=2.0)
2026-02-21 22:25:30 | src.control.vist_controller | INFO     | VIST Kalman Filter 初始化完成
2026-02-21 22:25:30 | src.control.vist_controller | INFO     | 初始化安全控制器...
2026-02-21 22:25:30 | src.control.vist_controller | INFO     | 安全控制器初始化完成
2026-02-21 22:25:30 | src.control.vist_controller | INFO     | 初始化坐标变换管理器...
2026-02-21 22:25:30 | src.control.vist_controller | INFO     | 坐标变换管理器初始化完成
2026-02-21 22:25:30 | src.control.vist_controller | INFO     | VIST 控制器初始化完成 - 基础模式（直接控制）
2026-02-21 22:25:30 | __main__             | INFO     | 性能监控器初始化完成
2026-02-21 22:25:30 | __main__             | INFO     | 初始化完成！
2026-02-21 22:26:04 | __main__             | INFO     | 未配置关节使能，默认所有关节使能
2026-02-21 22:27:11 | __main__             | INFO     | 用户中断
2026-02-21 22:27:12 | __main__             | INFO     | 真机控制器已退出
